order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,,
1477070,66393,Cafe Habana,Mexican,12.23,Weekday,5,23,28,,930
1477334,106968,Blue Ribbon Fried Chicken,American,29.2,Weekend,3,25,15,,
1478249,76942,Dirty Bird to Go,American,11.59,Weekday,4,25,24,,
1477224,147468,Tamarind TriBeCa,Indian,25.22,Weekday,3,20,24,,
1477174,121706,Anjappar Chettinad,Indian,16.44,Weekday,5,21,26,,
1476966,129969,Blue Ribbon Fried Chicken,American,24.3,Weekend,5,23,17,,
1477449,104548,Pylos,Mediterranean,11.3,Weekend,3,24,23,,
1477414,66222,Shake Shack,American,16.2,Weekend,5,33,25,,
1477138,47280,RedFarm Hudson,Chinese,14.12,Weekend,4,25,24,,
1477354,67487,Blue Ribbon Sushi,Japanese,16.2,Weekend,4,35,26,,
1478296,250494,Five Guys Burgers and Fries,American,24.2,Weekend,4,21,24,,
1478287,150599,Shake Shack,American,29.1,Weekday,5,21,30,,
1476693,41877,Cafe Mogador,Middle Eastern,29.1,Weekday,5,20,29,,
1476995,371590,The Meatball Shop,Italian,21.88,Weekday,5,24,27,,
1478289,318874,The Kati Roll Company,Indian,31.33,Weekend,5,28,25,,
1477699,302790,Klong,Thai,29.05,Weekend,5,35,24,,
1478244,181782,Parm,Italian,29.1,Weekend,5,30,26,,
1478017,148649,Blue Ribbon Sushi,Japanese,16.01,Weekday,4,23,31,,
1476871,118709,The Meatball Shop,Italian,24.3,Weekday,4,31,29,,
1477999,208020,Haru Gramercy Park,Japanese,29.83,Weekday,5,20,32,,
1477425,378482,Chipotle Mexican Grill $1.99 Delivery,Mexican,19.35,Weekend,4,21,18,,
1477267,133637,RedFarm Broadway,Chinese,24.25,Weekend,5,22,15,,
1476908,365237,Five Guys Burgers and Fries,American,22.75,Weekend,5,30,20,,
1476930,198802,DuMont Burger,American,29.05,Weekend,5,22,30,,
1477621,122864,Sarabeth's East,American,13.78,Weekend,4,34,24,,
1477251,81110,Hill Country Fried Chicken,Southern,16.93,Weekend,5,33,21,,
1477205,112036,TAO,Japanese,20.23,Weekend,5,22,20,,
1477760,130507,Jack's Wife Freda,Mediterranean,22.75,Weekend,3,35,29,,
1476562,129486,Mamoun's Falafel,Mediterranean,14.12,Weekend,3,31,15,,
1477692,313340,Sushi of Gari 46,Japanese,14.6,Weekday,3,24,24,,
1477889,177250,RedFarm Hudson,Chinese,12.23,Weekday,5,25,33,,
1477243,176234,Prosperity Dumpling,Chinese,14.02,Weekend,5,20,30,,
1476820,152786,Cafe Habana,Mexican,31.38,Weekend,4,23,27,,
1478359,361616,Blue Ribbon Brooklyn,American,24.2,Weekday,3,22,32,,
1476841,398426,RedFarm Broadway,Chinese,12.46,Weekend,4,24,20,,
1477125,130820,Nobu Next Door,Japanese,15.86,Weekend,5,29,23,,
1477475,65009,Blue Ribbon Fried Chicken,American,32.93,Weekend,5,24,23,,
1477518,133202,Sushi Samba,Japanese,29.05,Weekend,5,31,16,,
1477921,97079,Benihana,Japanese,29.29,Weekend,5,20,18,,
1477938,150002,The Kati Roll Company,Indian,16.15,Weekend,5,20,29,,
1477581,231061,Han Dynasty,Chinese,13.34,Weekend,4,34,27,,
1477385,67538,Chipotle Mexican Grill $1.99 Delivery,Mexican,12.56,Weekend,5,22,18,,
1476796,78939,Nobu Next Door,Japanese,16.3,Weekday,3,20,24,,
1478031,309513,Otto Enoteca Pizzeria,Italian,13.05,Weekday,5,33,27,,
1477740,129798,TAO,Japanese,25.27,Weekday,4,24,24,,
1478384,184085,Hill Country Fried Chicken,Southern,14.79,Weekend,5,35,15,,
1477569,65009,Chote Nawab,Indian,16.15,Weekend,5,24,30,,
1478211,154030,RedFarm Hudson,Chinese,33.03,Weekend,4,26,22,,
1476635,86731,Mission Cantina,Mexican,16.2,Weekend,5,31,18,,
1476921,121476,Blue Ribbon Fried Chicken,American,12.18,Weekday,3,29,27,,
1476689,305522,Shake Shack,American,24.2,Weekday,4,29,29,,
1477767,68976,Sarabeth's East,American,17.03,Weekend,3,26,30,,
1478169,80460,Rubirosa,Italian,21.83,Weekend,3,30,27,,
1477240,142356,Blue Ribbon Sushi,Japanese,11.83,Weekend,4,26,21,,
1476564,83287,Five Guys Burgers and Fries,American,24.3,Weekend,5,30,20,,
1477824,345899,TAO,Japanese,20.47,Weekend,4,26,30,,
1477617,38050,Blue Ribbon Sushi,Japanese,12.18,Weekend,5,28,25,,
1477978,259341,Joe's Shanghai Â__Ã€Â_Ã_Â£Â_Ã·Â´,Chinese,15.81,Weekend,5,20,26,,
1477281,309513,Otto Enoteca Pizzeria,Italian,22.36,Weekend,5,26,27,,
1476654,63020,The Odeon,American,12.9,Weekday,3,31,28,,
1477296,222879,Parm,Italian,29.15,Weekday,5,23,27,,
1478321,275535,Pongsri Thai,Thai,13.05,Weekday,4,31,24,,
1477942,49793,Yama Japanese Restaurant,Japanese,22.36,Weekend,5,30,16,,
1477993,91907,Momoya,Japanese,16.98,Weekday,5,31,32,,
1478072,82041,Osteria Morini,Italian,12.95,Weekend,5,26,28,,
1476935,59419,Blue Ribbon Fried Chicken,American,11.69,Weekend,5,21,24,,
1477188,146588,Sushi of Gari,Japanese,12.18,Weekday,5,25,24,,
1478340,230535,Shake Shack,American,10.38,Weekend,3,24,29,,
1477110,144997,RedFarm Hudson,Chinese,29.05,Weekend,4,22,28,,
1478402,232582,CafÃŒÂ© China,Chinese,32.93,Weekday,3,26,28,,
1477431,195927,Boqueria,Spanish,12.13,Weekend,5,30,20,,
1477177,42385,Song Thai Restaurant & Bar,Thai,24.2,Weekend,5,21,26,,
1478269,250494,The Meatball Shop,Italian,11.16,Weekday,5,22,28,,
1476663,40010,Parm,Italian,19.35,Weekend,4,35,19,,
1477904,48131,RedFarm Hudson,Chinese,16.1,Weekend,4,23,29,,
1477750,97806,Shake Shack,American,16.49,Weekend,5,32,22,,
1476659,52463,RedFarm Broadway,Chinese,31.33,Weekend,3,33,23,,
1477616,128600,Tamarind TriBeCa,Indian,14.07,Weekend,4,26,21,,
1477752,298824,Shake Shack,American,16.25,Weekday,3,30,24,,
1477239,94524,The Meatball Shop,Italian,22.36,Weekend,4,28,18,,
1476590,342107,The Kati Roll Company,Indian,16.83,Weekend,4,26,20,,
1477831,60052,RedFarm Broadway,Chinese,16.01,Weekday,4,23,27,,
1476568,348787,Otto Enoteca Pizzeria,Italian,19.4,Weekday,4,32,28,,
1478391,184325,Pinto Nouveau Thai Bistro,Thai,19.35,Weekend,4,34,24,,
1476725,42935,Barbounia,Mediterranean,13.97,Weekend,5,29,25,,
1476805,93133,Parm,Italian,22.8,Weekday,5,33,33,,
1478093,268958,Barbounia,Mediterranean,20.18,Weekend,5,29,19,,
1478201,370017,RedFarm Broadway,Chinese,19.59,Weekend,5,24,19,,
1478032,146586,Dirty Bird to Go,American,19.4,Weekend,4,25,19,,
1477570,292343,Amy Ruth's,Southern,16.11,Weekend,4,30,26,,
1476808,84700,Pepe Giallo,Italian,14.6,Weekday,3,32,24,,
1477366,275689,Han Dynasty,Chinese,14.12,Weekend,4,35,19,,
1477774,354719,The Meatball Shop,Italian,29.15,Weekend,5,34,20,,
1478334,352247,Chipotle Mexican Grill $1.99 Delivery,Mexican,25.22,Weekend,4,27,22,,
1477764,131645,Yama 49,Japanese,13,Weekday,5,24,32,,
1477835,129518,Blue Ribbon Fried Chicken,American,15.33,Weekday,4,24,29,,
1476997,103005,Yama Japanese Restaurant,Japanese,14.55,Weekend,5,20,28,,
1477004,250494,Five Guys Burgers and Fries,American,33.03,Weekend,5,29,15,,
1477536,105164,Piccolo Angolo,Italian,15.91,Weekend,4,26,26,,
1478313,160957,Momoya,Japanese,12.18,Weekend,4,27,25,,
1476657,91192,Hill Country Fried Chicken,Southern,29.35,Weekend,4,26,24,,
1478089,134294,Shake Shack,American,15.28,Weekday,4,30,29,,
1478026,365225,Pepe Rosso To Go,Italian,12.23,Weekday,3,24,24,,
1477493,328357,Shake Shack,American,15.96,Weekend,3,30,21,,
1478092,41318,Jack's Wife Freda,Mediterranean,15.47,Weekend,5,33,16,,
1477150,92832,Five Guys Burgers and Fries,American,12.23,Weekend,5,22,22,,
1476860,336162,Nobu Next Door,Japanese,29.15,Weekday,5,28,25,,
1476799,389740,L'Express,French,19.69,Weekend,3,26,17,,
1476598,41168,Parm,Italian,12.13,Weekend,3,34,22,,
1478173,91005,Han Dynasty,Chinese,24.25,Weekend,5,33,26,,
1478426,124085,Blue Ribbon Sushi Bar & Grill,Japanese,14.12,Weekend,3,21,24,,
1477324,263426,Blue Ribbon Sushi Izakaya,Japanese,12.13,Weekday,5,30,29,,
1478290,263199,Sushi of Gari 46,Japanese,31.43,Weekend,4,35,23,,
1476919,387227,Blue Ribbon Sushi Bar & Grill,Japanese,13.15,Weekend,5,30,30,,
1477247,385559,Blue Ribbon Fried Chicken,American,14.02,Weekend,5,20,28,,
1477615,136876,Rubirosa,Italian,14.07,Weekend,5,35,16,,
1477758,334619,Blue Ribbon Sushi Izakaya,Japanese,14.07,Weekday,4,24,26,,
1477765,92996,Tamarind TriBeCa,Indian,19.45,Weekend,4,29,19,,
1476753,195723,Cafe Habana,Mexican,13.97,Weekday,3,34,28,,
1476759,268958,Sushi of Gari 46,Japanese,12.22,Weekend,4,24,20,,
1477333,111356,Bhatti Indian Grill,Indian,29.25,Weekend,5,21,15,,
1478227,367591,Taro Sushi,Japanese,16.05,Weekday,5,35,32,,
1476789,103005,Yama Japanese Restaurant,Japanese,17.08,Weekend,5,28,15,,
1478246,260680,Delicatessen,American,32.98,Weekend,5,34,16,,
1476931,124838,Hill Country Fried Chicken,Southern,29.15,Weekend,5,33,25,,
1477029,295111,The Meatball Shop,Italian,13,Weekday,5,23,26,,
1478179,52832,Han Dynasty,Chinese,12.23,Weekend,3,33,27,,
1477887,69348,RedFarm Broadway,Chinese,11.64,Weekend,3,26,21,,
1478366,270149,Samurai Mama,Japanese,11.64,Weekend,5,21,18,,
1478279,354016,Waverly Diner,American,19.4,Weekend,5,25,23,,
1477394,105754,Momoya,Japanese,14.02,Weekday,4,24,30,,
1476975,350373,Blue Ribbon Fried Chicken,American,12.23,Weekend,4,21,26,,
1476579,85633,The Meatball Shop,Italian,24.2,Weekend,5,24,24,,
1476685,96877,The Meatball Shop,Italian,22.26,Weekday,4,30,26,,
1477912,261400,The Meatball Shop,Italian,19.45,Weekday,5,31,32,,
1476882,68429,Shake Shack,American,15.76,Weekend,5,24,22,,
1477712,373633,Yama 49,Japanese,12.61,Weekday,5,23,28,,
1477057,390490,Blue Ribbon Brooklyn,American,22.85,Weekend,3,23,19,,
1477926,72639,P.J. Clarke's,American,12.18,Weekend,3,22,28,,
1478003,129597,Otto Enoteca Pizzeria,Italian,12.13,Weekend,5,33,21,,
1476974,142461,Shake Shack,American,12.13,Weekend,4,32,15,,
1478005,97991,Blue Ribbon Sushi Bar & Grill,Japanese,19.45,Weekday,5,34,27,,
1476653,113972,RedFarm Hudson,Chinese,12.13,Weekend,3,31,25,,
1478440,231042,Momoya,Japanese,12.13,Weekend,5,22,21,,
1477920,83504,Balthazar Boulangerie,French,29.15,Weekday,4,31,28,,
1477797,194778,Shake Shack,American,16.06,Weekend,5,30,17,,
1477640,105992,RedFarm Broadway,Chinese,24.3,Weekend,5,27,29,,
1478324,250494,Blue Ribbon Fried Chicken,American,29.1,Weekend,4,21,22,,
1477573,58898,RedFarm Broadway,Chinese,21.39,Weekend,5,23,24,,
1477265,115238,The Smile,American,19.4,Weekday,5,26,27,,
1477723,368663,Shake Shack,American,12.18,Weekend,4,23,28,,
1478020,128353,The Meatball Shop,Italian,14.94,Weekend,5,32,25,,
1477032,60052,Rubirosa,Italian,29.1,Weekend,5,30,28,,
1478221,47280,Rubirosa,Italian,12.56,Weekend,4,31,17,,
1477389,391860,Lucky's Famous Burgers,American,16.2,Weekend,5,32,27,,
1477983,334373,Five Guys Burgers and Fries,American,14.12,Weekday,5,23,32,,
1477301,232035,Blue Ribbon Fried Chicken,American,12.18,Weekend,4,22,29,,
1476867,91879,da Umberto,Italian,12.27,Weekday,5,20,30,,
1477834,22405,The Meatball Shop,Italian,20.18,Weekend,4,32,26,,
1477577,290693,Shake Shack,American,14.02,Weekend,5,26,21,,
1477492,64658,Blue Ribbon Sushi Bar & Grill,Japanese,16.2,Weekday,5,27,27,,
1478075,232359,The Meatball Shop,American,29.25,Weekend,3,21,19,,
1476589,146588,Sushi of Gari,Japanese,15.96,Weekend,5,23,22,,
1477680,353606,P.J. Clarke's,American,15.62,Weekday,5,27,32,,
1477468,109221,Tortaria,Mexican,13,Weekday,5,21,24,,
1476619,78318,RedFarm Hudson,Chinese,12.23,Weekend,4,24,19,,
1477598,81110,Hill Country Fried Chicken,Southern,24.2,Weekend,4,25,15,,
1477624,104336,Shake Shack,American,19.45,Weekday,4,28,24,,
1478396,74925,Cafe Mogador,Middle Eastern,24.2,Weekend,4,32,22,,
1476999,63417,Pepe Rosso To Go,Italian,24.2,Weekend,3,27,19,,
1476599,47386,Bubby's ,American,22.75,Weekend,5,32,16,,
1477099,391746,Blue Ribbon Sushi,Japanese,24.3,Weekend,4,35,18,,
1477508,62027,Momoya,Japanese,19.35,Weekend,4,27,28,,
1478067,237616,Shake Shack,American,12.13,Weekday,3,22,27,,
1477163,376578,Shake Shack,American,15.76,Weekend,5,32,24,,
1476732,212469,Blue Ribbon Fried Chicken,American,33.03,Weekend,5,34,24,,
1477987,104563,Blue Ribbon Sushi,Japanese,24.25,Weekend,4,24,23,,
1476640,142773,Hibino,Japanese,14.02,Weekend,4,28,15,,
1478272,318874,The Kati Roll Company,Indian,14.07,Weekend,5,33,17,,
1477026,355592,CafÃŒÂ© China,Chinese,21.83,Weekend,4,32,15,,
1476560,149508,Shake Shack,American,22.26,Weekend,4,32,17,,
1477964,165130,The Meatball Shop,Italian,12.13,Weekday,4,22,32,,
1476623,277898,Blue Ribbon Fried Chicken,American,24.3,Weekend,5,22,26,,
1477844,134340,Mira Sushi,Japanese,13.05,Weekend,4,33,29,,
1476618,351749,Shake Shack,American,12.13,Weekday,5,30,26,,
1477256,196355,Shake Shack,American,12.18,Weekday,5,23,31,,
1477631,115519,The Meatball Shop,Italian,12.23,Weekend,4,31,28,,
1478136,61388,Five Guys Burgers and Fries,American,14.12,Weekend,4,27,27,,
1477690,370096,Melt Shop,American,21.93,Weekend,5,30,18,,
1477237,59217,Jack's Wife Freda,Mediterranean,16.15,Weekend,4,26,22,,
1478108,87188,Momoya,Japanese,32.93,Weekday,3,28,27,,
1477535,125123,S'MAC,American,15.57,Weekend,5,34,28,,
1477517,77793,The Meatball Shop,Italian,29.15,Weekend,5,23,30,,
1478029,403019,S'MAC,American,15.47,Weekday,5,31,32,,
1476585,141918,S'MAC,American,12.37,Weekend,4,30,28,,
1476664,164016,Blue Ribbon Fried Chicken,American,24.3,Weekday,5,20,27,,
1477271,94152,The Meatball Shop,Italian,17.08,Weekday,5,22,26,,
1477094,384571,Blue Ribbon Fried Chicken,American,22.31,Weekday,5,28,27,,
1477722,347263,Dos Caminos,Mexican,12.08,Weekday,5,26,26,,
1476831,169478,RedFarm Broadway,Chinese,12.61,Weekend,4,32,17,,
1477843,241719,Blue Ribbon Sushi Izakaya,Japanese,13.1,Weekday,5,24,28,,
1477323,59181,RedFarm Hudson,Chinese,12.13,Weekend,5,28,29,,
1477711,67647,J. G. Melon,American,12.66,Weekend,4,23,20,,
1477278,347263,Hummus Place,Middle Eastern,16.15,Weekend,4,30,28,,
1477663,93133,Nobu Next Door,Japanese,29.29,Weekday,4,30,24,,
1477195,64830,Cafeteria,American,20.47,Weekday,3,32,24,,
1476996,149984,Sushi of Gari 46,Japanese,16.44,Weekend,4,24,27,,
1478355,68103,The Meatball Shop,Italian,21.83,Weekend,4,30,20,,
1478159,57943,Shake Shack,American,15.76,Weekend,3,35,29,,
1476660,47280,Blue Ribbon Sushi,Japanese,12.18,Weekend,5,34,29,,
1477558,268365,Cafe Mogador,Middle Eastern,25.17,Weekend,4,23,30,,
1477731,122609,Blue Ribbon Sushi Izakaya,Japanese,24.25,Weekend,5,33,21,,
1478046,53289,The Loop,Japanese,31.38,Weekend,4,26,24,,
1478398,137617,Blue Ribbon Fried Chicken,American,24.3,Weekend,5,34,21,,
1477991,69713,The Meatball Shop,Italian,19.35,Weekend,5,21,23,,
1478247,104555,Sushi of Gari,Japanese,32.98,Weekend,4,34,21,,
1477875,154022,Blue Ribbon Sushi Bar & Grill,Japanese,12.18,Weekend,5,22,18,,
1477500,152786,Cafe Habana,Mexican,14.07,Weekend,4,26,21,,
1476736,60835,Nobu Next Door,Japanese,12.46,Weekend,4,35,28,,
1477372,55227,Sushi of Gari Tribeca,Japanese,29.2,Weekend,5,32,22,,
1477472,67845,RedFarm Hudson,Chinese,29.34,Weekend,5,27,29,,
1477738,97346,Osteria Morini,Italian,12.13,Weekend,5,22,26,,
1477392,203370,Chipotle Mexican Grill $1.99 Delivery,Mexican,15.57,Weekend,4,31,20,,
1477877,360844,RedFarm Broadway,Chinese,19.35,Weekend,5,33,18,,
1476915,142273,Pepe Rosso To Go,Italian,15.57,Weekend,5,29,27,,
1478109,87006,Nobu Next Door,Japanese,11.59,Weekend,5,26,24,,
1476914,141445,Parm,Italian,16.3,Weekend,3,26,23,,
1477463,66505,Mamoun's Falafel,Mediterranean,12.18,Weekday,5,25,30,,
1477427,291891,The Kati Roll Company,Indian,17.03,Weekend,5,24,22,,
1477220,41249,Kambi Ramen House,Japanese,32.93,Weekend,5,35,19,,
1477037,79215,Blue Ribbon Sushi,Japanese,12.23,Weekend,3,33,21,,
1477248,349123,Shake Shack,American,12.95,Weekday,5,20,30,,
1476740,60873,Jack's Wife Freda,Mediterranean,25.17,Weekday,4,31,25,,
1478052,77544,Shake Shack,American,24.3,Weekend,4,35,16,,
1477130,365469,Wo Hop Restaurant,Chinese,14.16,Weekend,4,22,16,,
1477856,143984,The Smile,American,25.17,Weekend,3,31,15,,
1477592,87357,Shake Shack,American,31.43,Weekend,5,30,19,,
1477230,284455,Shake Shack,American,12.66,Weekend,5,35,24,,
1476916,52832,Dickson's Farmstand Meats,American,15.72,Weekend,4,23,28,,
1477785,77306,Xi'an Famous Foods,Chinese,24.3,Weekend,4,32,29,,
1476643,88185,Momoya,Japanese,22.85,Weekend,4,32,17,,
1476994,141576,Blue Ribbon Sushi Bar & Grill,Japanese,19.35,Weekday,5,23,28,,
1476934,126134,Jack's Wife Freda,Mediterranean,32.93,Weekend,3,21,16,,
1478160,52832,Donburi-ya,Japanese,15.86,Weekday,5,28,28,,
1478228,86233,TAO,Japanese,15.28,Weekend,4,33,22,,
1478002,348096,The Meatball Shop,Italian,12.13,Weekend,5,34,16,,
1478112,232542,The Meatball Shop,Italian,22.36,Weekend,4,35,21,,
1477400,68775,Sushi of Gari Tribeca,Japanese,29.15,Weekend,4,22,17,,
1478274,374826,Waverly Diner,American,22.8,Weekend,4,25,21,,
1477804,381020,The Meatball Shop,Italian,19.45,Weekend,5,21,19,,
1477572,150865,Vanessa's Dumpling House,Chinese,15.52,Weekend,5,20,23,,
1476904,60845,Blue Ribbon Sushi,Japanese,25.27,Weekend,3,20,20,,
1477336,94480,The Meatball Shop,Italian,32.93,Weekend,5,34,29,,
1477812,93505,Rubirosa,Italian,24.2,Weekend,5,31,15,,
1477873,370053,Shake Shack,American,12.08,Weekend,3,29,24,,
1477997,186473,Blue Ribbon Sushi Izakaya,Japanese,12.23,Weekend,3,34,25,,
1477523,53503,RedFarm Broadway,Chinese,12.23,Weekend,4,21,21,,
1476572,356195,Blue Ribbon Fried Chicken,American,29.15,Weekday,5,20,29,,
1478236,121905,Chipotle Mexican Grill $1.99 Delivery,Mexican,22.26,Weekend,4,21,21,,
1478048,101202,Burger Joint,American,12.18,Weekend,4,35,15,,
1476746,201471,ilili Restaurant,Middle Eastern,12.66,Weekend,5,21,15,,
1478281,58898,Blue Ribbon Sushi,Japanese,16.93,Weekend,4,30,25,,
1478335,84502,Nobu Next Door,Japanese,25.17,Weekend,4,31,29,,
1477934,60052,RedFarm Broadway,Chinese,12.61,Weekend,5,28,21,,
1476645,140477,Serafina Fabulous Pizza,Italian,13.68,Weekend,5,20,20,,
1477450,79215,Blue Ribbon Sushi,Japanese,11.93,Weekend,3,24,21,,
1478135,276431,The Meatball Shop,Italian,14.02,Weekday,5,20,27,,
1477705,60397,Jack's Wife Freda,Mediterranean,12.18,Weekend,3,33,23,,
1477814,62359,Pylos,Mediterranean,35.41,Weekday,4,21,29,,
1478192,54365,Shake Shack,American,16.25,Weekend,5,27,23,,
1477203,60138,The Meatball Shop,American,15.86,Weekday,5,29,26,,
1477292,386766,Parm,Italian,17.03,Weekday,3,21,27,,
1477178,47440,Bareburger,American,24.2,Weekend,4,23,23,,
1477879,362961,ilili Restaurant,Middle Eastern,16.49,Weekend,4,30,28,,
1477602,320493,Vanessa's Dumplings,Chinese,16.78,Weekend,5,27,29,,
1477088,129486,Mamoun's Falafel,Mediterranean,12.61,Weekend,4,21,17,,
1476964,81405,RedFarm Broadway,Chinese,24.25,Weekend,5,29,22,,
1477981,154464,Westville Hudson,American,11.16,Weekend,4,24,20,,
1477851,66373,Blue Ribbon Sushi Izakaya,Japanese,32.93,Weekend,4,21,19,,
1477636,94909,Parm,Italian,12.13,Weekend,4,29,26,,
1477944,70564,Rubirosa,Italian,14.12,Weekday,3,26,27,,
1478073,121686,TAO,Japanese,24.25,Weekend,4,22,21,,
1476815,39029,Prosperity Dumpling,Chinese,13.63,Weekend,5,25,24,,
1477019,62359,RedFarm Hudson,Chinese,15.52,Weekend,5,30,18,,
1478409,151333,Melt Shop,American,25.27,Weekend,5,27,30,,
1477471,103147,Hot Kitchen,Chinese,29.54,Weekend,5,34,28,,
1478331,42424,Han Dynasty,Chinese,12.13,Weekend,5,33,27,,
1478319,84087,The Meatball Shop,Italian,16.49,Weekend,3,22,28,,
1477719,367051,RedFarm Hudson,Chinese,15.04,Weekend,3,35,25,,
1477816,187187,Momoya,Japanese,11.59,Weekend,3,24,29,,
1477777,73175,Hill Country Fried Chicken,Southern,31.43,Weekday,5,25,28,,
1478421,59673,Dig Inn Seasonal Market,American,15.71,Weekday,5,27,26,,
1476775,66636,Shake Shack,American,29.1,Weekday,5,29,31,,
1478395,283052,Han Dynasty,Chinese,13,Weekend,4,32,22,,
1477309,64151,Rubirosa,Italian,22.8,Weekday,5,32,27,,
1477315,176622,Cafe Mogador,Middle Eastern,15.91,Weekend,5,32,15,,
1476678,91817,Shake Shack,American,21.39,Weekend,4,28,18,,
1478363,138024,Cho Dang Gol,Korean,29.25,Weekend,4,23,21,,
1477288,47879,El Parador Cafe,Mexican,13.19,Weekday,5,22,28,,
1478350,132753,Vanessa's Dumplings,Chinese,15.57,Weekend,5,33,28,,
1476977,41246,Shake Shack,American,25.17,Weekend,5,27,26,,
1477544,113972,RedFarm Hudson,Chinese,19.35,Weekend,4,31,15,,
1477487,209552,TAO,Japanese,12.61,Weekend,5,32,24,,
1477187,353331,Chipotle Mexican Grill $1.99 Delivery,Mexican,12.13,Weekend,5,34,19,,
1478387,70564,Jack's Wife Freda,Mediterranean,12.08,Weekend,5,30,19,,
1478204,64153,Blue Ribbon Fried Chicken,American,14.07,Weekday,4,34,24,,
1476613,65561,Chipotle Mexican Grill $1.99 Delivery,Mexican,29.1,Weekend,5,24,28,,
